Регион,№,Филиал,Адрес
Яккасарайский р-н,0101,YAKKASAROY,"Яккасарайский рн,улица Бобур 22Посмотреть на карте ..."
Яккасарайский р-н,0123,QUSHBEGI (SKLAD),"Яккасарайский р-н, массив Қушбеги, малая кольцевая дорога, 23 домаПосмотреть на карте ..."
Яккасарайский р-н,0129,YAKKASAROY 2,"Яккасарайский рн, Улица:Шота Руставели 122, 42Посмотреть на карте ..."
Яккасарайский р-н,0130,QUSHBEGI (PVZ),"Яккасарайский р-н, массив Қушбеги, 2-й домПосмотреть на карте ..."
Яккасарайский р-н,0135,JANUBIY VOKZAL,"Яккасарайский рн, ул. Малая кольцевая дорога 22AПосмотреть на карте ..."
Яккасарайский р-н,0157,YAKKASAROY ASKIYA,"Яккасарайский р-н, ул Шота Руставели, 55Посмотреть на карте ..."
Учтепинский р-н,0102,UCHTEPA,"Учтепиский р-н, ул. Лутфий 2АПосмотреть на карте ..."
Учтепинский р-н,0115,O'RIKZOR1,"Учтепинский рн, рынок Ўрикзор 4-блок, 59-магазинПосмотреть на карте ..."
Учтепинский р-н,0124,FARHOD,"Учтепинский рн, Фархадский базар, G 9 A-магазинПосмотреть на карте ..."
Учтепинский р-н,0138,O'RIKZOR 2,"Учтепинский р-н, рынок Ўрикзор 4-блок, 42-2 магазинПосмотреть на карте ..."
Учтепинский р-н,0144,UCHTEPA 2,"Учтепиский р-н, квартал 12, 41 домПосмотреть на карте ..."
Учтепинский р-н,0150,FARHOD CHORRAHA,"Учтепинский р-н, ул Фарход, 6АПосмотреть на карте ..."
Учтепинский р-н,0170,ARCHA KO'CHA,"Учтепинский р-н, 14-й микрорайон, 14-дом, 13.квПосмотреть на карте ..."
Учтепинский р-н,0173,BESHQAYRAG'OCH,"Учтепинский район, ул.Бешкайрагоч, дом 276Посмотреть на карте ..."
Учтепинский р-н,0179,DEPO MALL,"Учтепинский р-н, ул.Катта Кани, дом 22Посмотреть на карте ..."
Шайхантахурский р-н,0103,SHAYXONTOHUR,Шайхантаурский р-н ул. Фуркат 6.Посмотреть на карте ...
Шайхантахурский р-н,0121,MALIKA BOZOR,"Шайхантахурский рн, улица Лабзак 2, рынок Малика 118-магазинПосмотреть на карте ..."
Шайхантахурский р-н,0133,HUVAYDO,"Шайхантахурский р-н, ул.Хувайдо, 14-домПосмотреть на карте ..."
Шайхантахурский р-н,0148,IBN SINO,"Шайхонтохурский р-н, ул. Ягуб Зиёев, 15 домПосмотреть на карте ..."
Шайхантахурский р-н,0158,ALISHER NAVOIY METRO,"Шайхонтохурский р-н, ул.Навои 69Посмотреть на карте ..."
Шайхантахурский р-н,0165,HUVAYDO 2 BTS,"Шайхантахурский р-н, ул.Беруний, дом 12Посмотреть на карте ..."
Шайхантахурский р-н,0181,GULOBOD,"Шейхонтохурский р-н, ул.Уйгур, дом 4Посмотреть на карте ..."
Шайхантахурский р-н,0183,CHORSU KIYIM BOZOR,"Шайхонтохур р-н, ул.Заркайнар, дом 42Посмотреть на карте ..."
Шайхантахурский р-н,0184,CHORSU GOLD SENTR,"Шайхонтохурский р-н, рынок ЧорсуПосмотреть на карте ..."
Шайхантахурский р-н,0186,TOSHMI CHORRAHA,"Город Шайхонтохур, улица Джара Арика.Посмотреть на карте ..."
Алмазарский р-н,0106,OLMAZOR,"Алмазарский рн, Улица: Талабалар,81/1Посмотреть на карте ..."
Алмазарский р-н,0125,QORASAROY,"Алмазарский район, ул.Карасарой, 2-дом, 39-квПосмотреть на карте ..."
Алмазарский р-н,0131,ESKI SHAHAR,"Алмазарский рн, Улица Лангар 76АПосмотреть на карте ..."
Алмазарский р-н,0137,QORAQAMISH,"Алмазарский р-н, 2-улица ҚарақамишПосмотреть на карте ..."
Алмазарский р-н,0151,KELES YO'LI,"Алмазорский р-н, ул Келесская дорогаПосмотреть на карте ..."
Алмазарский р-н,0163,SEBZOR,"Алмазарский р-н, ул.Себзор, дом 1Посмотреть на карте ..."
Алмазарский р-н,0168,SAG'BON,"Алмазарский р-н, ул.Сагбон, дом 80Посмотреть на карте ..."
Алмазарский р-н,0185,QORAQAMISH 2,"Алмазарский район, Кара-Камыш 2/1, 8дом, кв-25.Посмотреть на карте ..."
Сергелийский р-н,0107,SERGELI,"Сергилийский рн, 8A, 3-дом,74-квПосмотреть на карте ..."
Сергелийский р-н,0143,SERGELI 4-BEKAT,"Сергели р-н, ул Шокир арик, 100 домПосмотреть на карте ..."
Сергелийский р-н,0155,SERGELI MASHINA BOZORI,"Сергелийский район, Сергелийский авторынок, магазин 26Посмотреть на карте ..."
Юнусабадский р-н,0108,YUNUSOBOD (SHAXRISTON),"Юнусабадский р-н, ул.A.Темур, 115А домПосмотреть на карте ..."
Юнусабадский р-н,0111,UNIVERSAM YUNUSOBOD,"Юнусабадский рн, 8-квартал,22-дом, 50-квПосмотреть на карте ..."
Юнусабадский р-н,0126,OLOY,"Юнусабадский район, ул.Кашгарская, 1-дом, 22-квПосмотреть на карте ..."
Юнусабадский р-н,0160,YUNUSOBOD GIDROMITSENTR,"Юнусабадский р-н, ул Азия, 21 домПосмотреть на карте ..."
Юнусабадский р-н,0162,MEGA PLANET BTS,"Юнусабадский р-н, 11-микрорайон, дом 16Посмотреть на карте ..."
Юнусабадский р-н,0169,BODOMZOR,"Юнусабадский район, ул,Богишамол, дом 33 АПосмотреть на карте ..."
Мирабадский р-н,0109,MIROBOD,"Мирабадский район, ул. Афросиоб 6.Посмотреть на карте ..."
Мирабадский р-н,0136,SHIMOLIY VOKZAL,"Мирабадский район, ул. Ойбек 59-1Посмотреть на карте ..."
Мирабадский р-н,0159,YANGI QO'YLIQ,"Мирабадский р-н, ул.Койлик, 16бПосмотреть на карте ..."
Мирабадский р-н,0171,SARAKULKA,"Мирабадский р-н, ул.Мехржон, 45, 79 кв.м.Посмотреть на карте ..."
М.Улугбекский р-н,0110,MAKSIM GORKIY,"Мирзо Улугбекский р-н, ул. Буюк Ипак Йули, 123Посмотреть на карте ..."
М.Улугбекский р-н,0113,PARKENT,"Мизо Улуғбекский р-н, ул. Паркент- 11Посмотреть на карте ..."
М.Улугбекский р-н,0128,TTZ,"Мирзо Улуғбекский рн, улица Буюк Ипак Йўли 481АПосмотреть на карте ..."
М.Улугбекский р-н,0141,MIRZO ULUG'BEK,"Мирзо Улугбекский р-н, ул. Катта Дархон, 1/8Посмотреть на карте ..."
М.Улугбекский р-н,0164,MIRZO ULUG'BEK CHIMGAN,"Мирзо Улугбекский р-н, село Ялангъоч, дом 67Посмотреть на карте ..."
М.Улугбекский р-н,0166,MAKSIM GORKIY 2,"Мирзо Улугбекский р-н, ул.Буюк Ипак ЙулиПосмотреть на карте ..."
М.Улугбекский р-н,0172,S1(MARKAZ),"Мирзо Улугбекский р-н, ул.Буюк Ипак Йули, дом 13Посмотреть на карте ..."
М.Улугбекский р-н,0174,LUNACHARSKIY,"Мирзо Улугбекский р-н, ул.Буюк Ипак Йули, дом 276Посмотреть на карте ..."
М.Улугбекский р-н,0176,MIRZO ULUG'BEK IT-PARK,"Мирзо Улугбекский р-н, ул.Муминова, дом 7, кв 32Посмотреть на карте ..."
Яшнабадский р-н,0112,QO'YLIQ,"Яшнаабадский р-н, ул. Фаргона йули, дом-4,3-квПосмотреть на карте ..."
Яшнабадский р-н,0127,KADISHEVA,"Яшнабадский рн, улица Бешариқ 40-квПосмотреть на карте ..."
Яшнабадский р-н,0145,MAHTUMQULI,"Яшнабадский р-н, ул Махтумкули, 117Посмотреть на карте ..."
Яшнабадский р-н,0149,LISUNOVA,"Яшнабадский р-н, ул Корасув, 33Посмотреть на карте ..."
Яшнабадский р-н,0180,ROHAT,"Яшнабадский район, шоссе Ахонгарон, дом 105Посмотреть на карте ..."
Яшнабадский р-н,0182,KADISHEVA 2,"Яшнабадский р-н, ул.Ависозлар.Посмотреть на карте ..."
Чилонзарский р-н,0114,OQTEPA,"Чиланзарский рн, 7-квартал, 33-квПосмотреть на карте ..."
Чилонзарский р-н,0117,ABU SAXIY,"Бунёдкор К, Е-блок,магазин Е154Посмотреть на карте ..."
Чилонзарский р-н,0120,BEK BARAKA,"Зангиатинский р-н, рынок Бек БаракаПосмотреть на карте ..."
Чилонзарский р-н,0122,CHILONZOR,"Чиланзарский рн, 1-квартал,59-дом,19-квПосмотреть на карте ..."
Чилонзарский р-н,0132,CHO'PONOTA,"Чиланзарский рн, Дилобод МСГ, 6-квартал,44-дом,27-квПосмотреть на карте ..."
Чилонзарский р-н,0139,QATORTOL,"Чиланзарский р-н, ул. Қатортол 1Посмотреть на карте ..."
Чилонзарский р-н,0140,ALGORITM,"Чиланзарский р-н, ул. Гулистон 59-2 домПосмотреть на карте ..."
Чилонзарский р-н,0152,CHILONZOR PARLAMENT,"Чиланзорский р-н, ул Аль-Хорами,17кв, 46Посмотреть на карте ..."
Чилонзарский р-н,0153,BEK BARAKA 2,"Бек барака бозори, 770-магазинПосмотреть на карте ..."
Чилонзарский р-н,0154,DO'STLIK BOZOR,"Достлик рынок, 42-2-35Посмотреть на карте ..."
Чилонзарский р-н,0156,ALGORITM 2,"Чиланзорский р-н, ул Согаллы, 25 домПосмотреть на карте ..."
Чилонзарский р-н,0161,NOVZA BTS,"Чиланзорский р-н, ул Бунёдкор, дом 2аПосмотреть на карте ..."
Чилонзарский р-н,0167,CHILONZOR METRO,"Чиланзарский р-н, 16-й микрорайон, дом 11Посмотреть на карте ..."
Чилонзарский р-н,0175,ALFA SAVDO MARKAZI BTS,Торговый центр АльфаПосмотреть на карте ...
Янги ҳаётский р-н,0134,TASHKENT INDEX,"Янгиҳаятский р-н, ул. Райхон, 107 TashINDEXПосмотреть на карте ..."
Янги ҳаётский р-н,0142,YANGI HAYOT SPUTNIK,"Янги Ҳаятский р-н, ул. Дўстлик, 2АПосмотреть на карте ..."
Янги ҳаётский р-н,0177,YANGI CHOSHTEPA,"Янгиҳайотский район, улица Янги Чочтепа Узара, дом 8Посмотреть на карте ..."
Бектемирский р-н,0178,BEKTEMIR,"Бектемирский р-н, ул.Бектемир, дом 92Посмотреть на карте ..."
г.Чирчик,1002,CHIRCHIQ BOZOR,Алишера Навоий дом-б/н.Посмотреть на карте ...
г.Чирчик,1012,TROISKIY,"г. Чирчик, ул Навои Шох 77в-домПосмотреть на карте ..."
г.Чирчик,1029,OKTYABR,"Город Чирчик, улица Амира Темура, дом 140/4Посмотреть на карте ..."
г.Чирчик,1031,CHIRCHIQ NAVOIY,"г.Чирчик, ул.А.Навой, дом 200Посмотреть на карте ..."
г.Алмалык,1003,OLMALIQ,"г. Алмалык, ул. Фурқат, дом 3-30Посмотреть на карте ..."
г.Алмалык,1027,OYDIN,"г. Алмалык, ул.Улугбека, дом 82Посмотреть на карте ..."
г.Ангрен,1004,ANGREN,"г. Ангрен, ул.Навоий, дом 111Посмотреть на карте ..."
Аккурганский р-н,1006,OQQO'RG'ON,"Аққурганский р-н, улица Ахунбабаева, 14 магазинПосмотреть на карте ..."
г.Янгийуль,1007,YANGIYO'L,"г. Янгийўл, улица Ёшлик 54Посмотреть на карте ..."
г.Бекабад,1008,BEKOBOD,"Бекабадский р-н, ул.Буюк ипак юли, дом 466Посмотреть на карте ..."
г.Бекабад,1030,14-MIKRARAYON,"г. Бекабад, ул.Гафура Гулама, дом 35/2Посмотреть на карте ..."
г.Ахангаран,1009,OHANGORON,"г.Ахангарон, ул.А.Темур, 10 домПосмотреть на карте ..."
г.Нурафшон,1010,NURAFSHON,"Ул. Ташкент йули, дом 85Посмотреть на карте ..."
г.Нурафшон,1036,NURAFSHON MIKRORAYON,"г.Нурафшан, yл.Юксалиш, 19Посмотреть на карте ..."
Кибрайский р-н,1011,QIBRAY,"Кибрайский р-н, ул.А.НавоиПосмотреть на карте ..."
Кибрайский р-н,1017,QIBRAY SELEKSIYA,"Кибрайский р-н, ул.Университетская, дом 37Посмотреть на карте ..."
Кибрайский р-н,1035,DO'RMON,"Кибрайский р-н, ул.Юзробот, дом 214Посмотреть на карте ..."
Паркентский р-н,1013,PARKENT TUMAN,"Паркентский р-н, ул.Мустакиллик, SHOX станцияПосмотреть на карте ..."
г. Газалкент,1014,G'AZALKENT,"Бостикский р-н, ул Ўзгариш, 2/12 домПосмотреть на карте ..."
г. Газалкент,1034,QORONG'U BOZOR,"г. Газалкент, ул.Мустакиллик, 18аПосмотреть на карте ..."
Зангиатинский р-н,1015,ZANGIOTA,"Занготский р-н, Х. Ногмонова 1 домПосмотреть на карте ..."
Зангиатинский р-н,1020,SOLNECHNIY,"Зангиотинский р-н, М 39Посмотреть на карте ..."
Зангиатинский р-н,1022,NAZARBEK,"Зангиатинский р-н, ул.Ак Уй, дом 91Посмотреть на карте ..."
Ташкентский р-н,1016,KELES,"Ташкентский р-н, ул.Келесское шоссе, 179Посмотреть на карте ..."
Ташкентский р-н,1024,KO'KSAROY,"Ташкентская область, Коксаройский МФЮПосмотреть на карте ..."
Юкори чирчикский р-н,1018,YUQORI CHIRCHIQ YANGIBOZOR,"Юкоричирчик р-н, ЯнгибозорПосмотреть на карте ..."
Юкори чирчикский р-н,1026,BARDANKO'L,"Юкоричирчикский р-н, ул.Мирабад, дом 4/2Посмотреть на карте ..."
Пскентский р-н,1019,PISKENT,Пискент тумани Митан МФЙ БОБУР К2 уй АРИНТР ФҲДЁПосмотреть на карте ...
Бекабадский р-н,1021,ZAFAR SHAXAR,"Бекабадский р-н, ул.Мустакиллик, 13-домПосмотреть на карте ..."
Букинский р-н,1023,BO'KA,"Бокинский р-н, ул.МагистральПосмотреть на карте ..."
Янгийульский р-н,1025,GULBAHOR,"Янгиюльский р-н, ул.Шарофа Рашидова, дом 96Посмотреть на карте ..."
Чиназский р-н,1028,CHINOZ,"Район Чиназ, ул.Самарканд, дом 141Посмотреть на карте ..."
Бостанлыкский р-н,1032,XOJIKENT,"Бостанлыкский р-н, квартал Нурчилар, дом 70Посмотреть на карте ..."
Урта-чирчикский р-н,1033,QORASUV (O'RTA CHIRCHIQ),"Ўрта-Чирчикский р-н, ул.Ташкентская дорога, дом 270Посмотреть на карте ..."
Сырдарьинский р-н,2002,BAXT,"Cирдаринский р-н,городок Бахт, улица Улуғйўл 159-домПосмотреть на карте ..."
Сырдарьинский р-н,2013,SIRDARYO,"Сырдарийский р-н, ул.Узбекистан, дом 198Посмотреть на карте ..."
г.Гулистан,2003,GULISTON,"Г.Гулистон, ул.Узбекистан, 3-17Посмотреть на карте ..."
г.Гулистан,2009,GULISTON VOKZAL,"г.Гулистан, ул.Сайхун филиал, 3АПосмотреть на карте ..."
г.Янгиер,2004,YANGIYER,"Янгиерский р-н, ул.ГюльшанПосмотреть на карте ..."
Хавастский р-н,2005,XOVOS,"Ховосский р-н, ул.СамаркандскаяПосмотреть на карте ..."
Баяутский р-н,2006,BOYOVUT,"Баяутский р-н, ул.Маданият Тинчлик, дом 60Посмотреть на карте ..."
г.Ширин,2007,SHIRIN,"Город Ширин, ул.Ибн Сино, дом 1Посмотреть на карте ..."
Окалтынский р-н,2008,OQOLTIN,"Околтинский р-н, ул.Тинчлик, дом 37Посмотреть на карте ..."
Сайхунабадский р-н,2010,SAYXUNOBOD,"Район Сейхунабад, ул.А. Навой, дом 19Посмотреть на карте ..."
Гулистанский р-н,2011,GULISTON TUMAN,"Гулистанский р-н, ул.Туркестан, дом 83Посмотреть на карте ..."
Сардобинский р-н,2012,SARDOBA,"Сардобинский район, ул. ДустликПосмотреть на карте ..."
